               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.025655,            0.019225,                   0,             0.95939,             0.95119,             0.98133,             0.68128,            0.024263,            0.014088,                   0,           0.0072221,           0.0072221,           0.0072221
                  77,            0.025547,            0.019244,                   0,             0.95758,             0.95035,             0.98066,             0.68032,            0.024258,            0.014076,                   0,           0.0071566,           0.0071566,           0.0071566
                  78,            0.025665,            0.019183,                   0,             0.95574,             0.95519,              0.9807,             0.68044,            0.024239,            0.014074,                   0,           0.0070906,           0.0070906,           0.0070906
                  79,            0.025525,            0.019098,                   0,             0.95963,             0.95003,             0.98147,             0.68048,            0.024226,            0.014074,                   0,           0.0070243,           0.0070243,           0.0070243
                  80,            0.025594,            0.019109,                   0,             0.95822,             0.95119,              0.9802,              0.6799,            0.024225,            0.014085,                   0,           0.0069576,           0.0069576,           0.0069576
                  81,            0.025384,            0.019377,                   0,             0.96242,             0.94611,             0.98128,              0.6799,            0.024225,            0.014092,                   0,           0.0068906,           0.0068906,           0.0068906
                  82,            0.025344,            0.018938,                   0,             0.95093,             0.95632,             0.98116,              0.6797,            0.024241,            0.014099,                   0,           0.0068232,           0.0068232,           0.0068232
                  83,            0.025532,            0.018862,                   0,             0.96028,             0.94641,             0.98124,             0.67983,            0.024219,            0.014109,                   0,           0.0067555,           0.0067555,           0.0067555
                  84,            0.025112,            0.018785,                   0,             0.95788,             0.95095,             0.98109,             0.67963,            0.024212,            0.014116,                   0,           0.0066874,           0.0066874,           0.0066874
                  85,            0.025197,            0.018942,                   0,             0.95821,             0.95307,             0.98219,             0.68103,            0.024246,            0.014118,                   0,           0.0066191,           0.0066191,           0.0066191
                  86,            0.025108,            0.018827,                   0,             0.95862,             0.95126,             0.98213,             0.68161,            0.024272,            0.014129,                   0,           0.0065505,           0.0065505,           0.0065505
                  87,            0.025076,            0.018741,                   0,             0.95076,             0.95913,             0.98197,             0.68046,            0.024322,            0.014149,                   0,           0.0064816,           0.0064816,           0.0064816
